OBS	INTRATE	INFL	PROD	UNEMPL	COMMPRI	PCE	PERSINC	HOUST					
1984:9	11.30	4.28287	6.45788	4.49001	-21.47059	8.60160	6.86357	-0.70175					
1984:10	9.99	4.26587	5.46370	4.49311	-25.39683	7.46888	5.52042	-7.28863					
1984:11	9.43	4.15430	5.50866	4.47149	-19.23642	8.78333	5.04752	-5.37815					
1984:12	8.38	4.04339	5.09578	4.20701	-28.99160	8.01118	4.73968	-4.50237					
1985:1	8.35	3.52595	2.78288	3.99253	-26.08696	8.35465	4.19514	-9.80496					
1985:2	8.50	3.60624	2.72472	3.58868	-36.99015	9.98713	2.62753	-27.78761					
1985:3	8.58	3.79009	2.39483	3.65411	-37.22826	9.04613	1.47714	8.23812					
1985:4	8.27	3.58180	1.47857	3.46192	-38.66481	8.35702	2.50190	-1.62075					
1985:5	7.97	3.57488	1.14373	3.41445	-22.08000	9.11767	4.73124	-5.29876					
1985:6	7.53	3.66442	0.86215	3.15414	-33.75000	7.92020	1.80921	-9.06131					
1985:7	7.88	3.45821	-0.16334	3.01397	-25.61175	9.01420	1.89241	-2.77136					
1985:8	7.90	3.35249	0.20014	2.95473	-25.04259	9.70060	1.09041	9.89912					
1985:9	7.92	3.24737	0.80217	2.83290	-17.04120	10.44365	0.81600	-1.29564					
1985:10	7.99	3.23501	0.52591	2.72195	-10.25145	9.01820	1.72330	15.34591					
1985:11	8.05	3.51377	0.47327	2.56619	-16.90909	7.91515	1.51968	0.53286					
1985:12	8.27	3.79147	1.41081	2.60335	-3.94477	8.98842	1.51131	20.47146					
1986:1	8.14	3.97351	2.14762	2.44986	1.68067	8.07219	1.60000	15.25424					
1986:2	7.86	3.19849	0.99275	2.42909	10.93750	6.89421	3.05906	13.23529					
1986:3	7.48	2.15356	0.19435	2.16020	6.06061	6.69603	4.60658	4.22222					
1986:4	6.99	1.58879	0.51223	2.14656	-2.94785	6.67441	3.26172	6.15047					
1986:5	6.85	1.67910	0.57518	1.98946	1.64271	6.02757	1.02904	10.35714					
1986:6	6.92	1.76744	0.18386	1.74022	20.99057	6.45352	3.17862	10.20286					
1986:7	6.56	1.67131	1.52469	1.86791	8.11404	6.14476	3.50961	5.81948					
1986:8	6.17	1.57553	0.87043	1.78349	17.04545	5.37156	3.76436	3.67183					
1986:9	5.89	1.75763	0.61445	1.92667	28.89391	6.38010	3.41601	0.65632					
1986:10	5.85	1.56682	1.47495	1.92094	22.62931	6.46164	2.82062	-8.34242					
1986:11	6.04	1.28440	1.62017	1.89350	24.94530	5.71388	2.67370	-4.41696					
1986:12	6.91	1.18721	1.43130	1.92883	17.04312	6.66005	2.24182	-5.61277					
1987:1	6.43	1.36488	0.65047	1.97399	26.23967	3.93193	2.46117	-10.04057					
1987:2	6.10	1.91431	2.65971	2.09832	25.75453	6.54493	2.47569	-3.46320					
1987:3	6.13	2.84143	3.48630	2.25299	27.95918	6.83317	1.54427	-7.99574					
1987:4	6.37	3.67985	4.06859	2.40108	53.27103	7.29317	-2.68087	-16.50285					
1987:5	6.85	3.66972	4.54751	2.49776	36.56566	6.79331	1.13689	-12.18986					
1987:6	6.73	3.74771	5.38925	2.76839	41.52047	7.47868	1.04947	-13.69789					
1987:7	6.58	3.92694	5.41043	2.78870	50.70994	7.51020	0.79185	-11.61616					
1987:8	6.73	4.28832	6.49261	2.84274	50.29126	8.10347	1.05635	-11.17875					
1987:9	7.22	4.27273	6.57005	2.71379	35.37653	5.30389	0.95939	0.47421					
1987:10	7.29	4.35572	7.65134	3.01438	37.25835	6.96561	1.65185	-9.87507					
1987:11	6.69	4.52899	7.72755	3.05465	38.70403	7.45147	1.95517	2.03327					
1987:12	6.77	4.33213	7.33967	3.13697	40.70175	5.98180	2.68507	-23.62248					
1988:1	6.83	4.12926	7.71031	3.05414	28.80524	9.51897	2.62042	-28.35400					
1988:2	6.58	3.93560	6.79476	3.26612	29.92000	7.35952	2.64159	-17.43274					
1988:3	6.58	3.83244	6.87528	3.28477	18.81978	8.23537	2.93294	-11.23986					
1988:4	6.87	3.99290	6.77733	3.18220	23.47561	7.40971	7.35607	-2.54027					
1988:5	7.09	3.98230	5.95633	3.17808	20.56213	8.06488	3.32637	-12.71499					
1988:6	7.51	3.96476	5.72228	3.36016	11.15702	8.00414	3.85695	-7.27729					
1988:7	7.75	4.13005	5.07976	3.22650	9.01750	7.99177	3.96155	-6.85714					
1988:8	8.01	4.11199	4.72692	3.17522	1.03359	7.54051	3.82725	-6.97819					
1988:9	8.19	4.18483	4.15067	3.27631	-5.82147	7.90671	3.96366	-11.97640					
1988:10	8.30	4.26087	3.13019	3.04350	-8.45070	8.86357	3.88426	0.46205					
1988:11	8.35	4.24610	2.75482	3.14018	-10.47980	9.05122	3.53777	-5.25362					
1988:12	8.76	4.41176	2.72234	3.12741	-12.96758	8.94419	3.18046	11.64286					
1989:1	9.12	4.48276	2.96633	3.28649	-10.41931	8.33256	3.42513	27.53737					
1989:2	9.36	4.64716	2.11041	3.08509	-16.37931	8.19515	3.18443	-3.25866					
1989:3	9.85	4.89270	2.13312	2.99750	-8.85906	7.22131	3.29991	-7.18016					
1989:4	9.84	5.03413	1.68673	2.92174	-19.25926	8.48067	2.39194	-14.87603					
1989:5	9.81	5.27660	1.05896	2.80961	-27.23926	7.74690	1.76333	-6.33357					
1989:6	9.53	5.16949	0.86187	2.56542	-38.04213	7.39897	1.64919	-5.48038					
1989:7	9.24	5.06329	-0.15727	2.38758	-40.61728	7.21579	1.63598	-2.72665					
1989:8	8.99	4.62185	0.27952	2.31381	-44.62916	7.46092	1.57635	-10.78366					
1989:9	9.02	4.43515	0.27951	2.22245	-41.75824	7.27428	1.68778	-14.27614					
1989:10	8.84	4.58716	-0.31186	2.06912	-42.65734	6.40159	1.59218	-7.35874					
1989:11	8.55	4.65503	-0.15841	2.00439	-42.31312	6.17058	1.65256	-13.89420					
1989:12	8.45	4.63960	-0.02714	1.81748	-41.26074	6.45514	1.10427	-19.96161					
1990:1	8.23	5.19802	-0.93956	1.88116	-27.94326	7.06592	1.26612	-4.31832					
1990:2	8.24	5.26316	0.42358	1.86733	-34.31517	6.87520	1.18395	0.84211					
1990:3	8.28	5.23732	0.70657	1.88443	-26.21502	7.31256	0.63654	-9.35302					
1990:4	8.26	4.71162	0.51454	1.75802	-22.17125	6.40982	1.72339	-6.79612					
1990:5	8.18	4.36540	1.41854	1.78760	-15.51433	6.30694	1.94341	-8.94065					
1990:6	8.29	4.67365	1.68223	1.69959	6.40000	6.66871	1.86441	-15.74803					
1990:7	8.15	4.81928	2.55384	1.63604	6.86071	6.57467	1.80344	-17.93973					
1990:8	8.13	5.70281	1.89938	1.38556	22.63279	6.27475	0.92402	-16.29129					
1990:9	8.20	6.16987	2.40534	1.07046	65.56604	6.83324	0.62685	-13.21345					
1990:10	8.11	6.37959	1.74131	0.82046	79.02439	6.49589	-0.65596	-28.08511					
1990:11	7.81	6.19539	0.19898	0.42574	56.96822	6.24915	-0.76965	-15.24796					
1990:12	7.31	6.25495	-1.06179	0.28572	43.65854	4.78558	-0.27502	-22.54197					
1991:1	6.91	5.64706	-0.88960	-0.13189	1.57480	2.94620	-1.25029	-48.54932					
1991:2	6.25	5.31250	-2.46263	-0.63693	-0.22422	3.69846	-1.36121	-32.84621					
1991:3	6.12	4.82115	-3.50071	-0.97586	-17.76447	4.19462	-1.18304	-28.54926					
1991:4	5.91	4.80993	-3.19319	-1.20434	-23.77210	3.62321	-1.42219	-19.79167					
1991:5	5.78	5.03486	-2.38883	-1.45486	-23.75250	4.15293	-1.20463	-17.82178					
1991:6	5.90	4.69592	-1.80127	-1.38719	-25.56391	3.55376	-0.91904	-11.97961					
1991:7	5.82	4.36782	-1.68280	-1.39483	-25.29183	3.74886	-1.47624	-9.22289					
1991:8	5.66	3.79939	-1.80404	-1.19055	-21.28060	3.11514	-0.70428	-5.91928					
1991:9	5.45	3.39623	-1.16050	-1.08194	-35.18519	2.94594	-0.40746	-8.55856					
1991:10	5.21	2.84858	-0.61849	-0.92350	-31.88011	2.72182	0.54958	6.41026					
1991:11	4.81	3.06657	0.48007	-0.83962	-25.85670	3.39986	0.72814	-3.66812					
1991:12	4.43	2.98063	0.77916	-0.76585	-16.97793	4.12347	1.10310	11.35191					
1992:1	4.03	2.67261	0.61535	-0.60803	-12.01550	6.33295	2.52829	47.36842					
1992:2	4.06	2.81899	2.02051	-0.38718	3.14607	6.01293	2.88652	29.53368					
1992:3	3.98	3.18991	3.46661	-0.19249	16.74757	5.20650	2.84879	40.82519					
1992:4	3.73	3.18283	3.96022	0.14857	31.70103	5.73664	2.79475	9.79021					
1992:5	3.82	3.02360	3.28625	0.38156	43.97906	5.72405	3.29887	21.88755					
1992:6	3.76	3.01471	2.31244	0.35352	36.11111	6.01198	3.20717	10.52124					
1992:7	3.25	3.15712	3.22066	0.44967	46.35417	6.04158	3.33583	7.14958					
1992:8	3.30	3.07467	2.58703	0.57429	28.46890	6.37075	3.48727	16.87321					
1992:9	3.22	2.99270	1.94121	0.57781	13.40659	6.81546	2.67113	16.84729					
1992:10	3.10	3.27988	2.95683	0.72908	-7.20000	7.77881	1.84814	15.29194					
1992:11	3.09	3.12046	3.48765	0.90952	-11.55462	7.43421	1.69718	10.06346					
1992:12	2.92	2.96671	3.95337	1.08102	-1.84049	7.87329	4.33698	13.71640					
1993:1	3.02	3.25380	5.09784	1.31762	9.69163	6.28489	1.30436	2.89116					
1993:2	3.03	3.24675	4.72342	1.59998	17.42919	6.25486	1.14143	-3.20000					
1993:3	3.07	3.01941	3.76907	1.50413	11.43451	5.73495	0.67614	-16.49961					
1993:4	2.96	3.15638	3.36160	1.63922	6.84932	6.34852	0.85129	14.46770					
1993:5	3.00	3.22119	2.63584	1.76616	-8.36364	6.35042	0.19100	3.78913					
1993:6	3.04	2.99786	2.84190	1.86992	-6.12245	6.28844	-0.43033	11.79039					
1993:7	3.06	2.84698	2.22406	2.08017	-8.54093	6.26806	-0.11066	10.09658					
1993:8	3.03	2.84091	2.65155	2.09492	-2.60708	6.14724	-0.29700	6.03589					
1993:9	3.09	2.76400	2.90208	2.28053	-5.03876	6.00388	-0.04215	13.23777					
1993:10	2.99	2.75229	2.89745	2.37388	9.69828	5.77437	0.07336	11.89711					
1993:11	3.02	2.74455	2.88409	2.48435	25.17815	5.87800	0.31291	13.34432					
1993:12	2.96	2.81096	3.34664	2.57181	10.62500	5.39765	0.19047	24.93888					
1994:1	3.05	2.45098	3.27535	2.52994	18.27309	5.62195	0.21333	5.12397					
1994:2	3.25	2.51572	2.92734	2.48621	16.88312	6.35530	0.10640	10.49587					
1994:3	3.34	2.65178	4.02954	2.95460	17.35075	6.72553	0.75174	44.41367					
1994:4	3.56	2.36439	4.27026	2.98352	16.30037	6.30723	0.32319	16.45469					
1994:5	4.01	2.28849	5.24278	3.03691	34.52381	5.58170	1.70810	21.11111					
1994:6	4.25	2.49480	5.76452	3.15384	37.74704	6.05544	1.72493	10.07813					
1994:7	4.26	2.69896	5.63652	3.21741	39.29961	5.63986	1.57766	14.75279					
1994:8	4.47	2.90055	6.29516	3.31799	43.78585	6.29125	1.58870	11.53846					
1994:9	4.73	2.96552	6.16965	3.41226	63.87755	5.84924	2.27691	9.75428					
1994:10	4.76	2.60989	6.25069	3.33820	65.22593	6.17970	3.78472	4.16667					
1994:11	5.29	2.60274	6.47499	3.47146	60.34156	5.96055	3.46594	9.81105					
1994:12	5.45	2.59740	7.01575	3.42887	64.03013	5.91631	0.52186	-5.08806					
1995:1	5.53	2.87081	6.79852	3.46855	46.01019	5.80047	2.85095	10.61321					
1995:2	5.92	2.86299	6.66469	3.46506	29.68254	4.71595	2.84304	-1.57068					
1995:3	5.98	2.78722	5.73696	3.23626	25.43720	5.16783	2.77999	-20.14066					
1995:4	6.05	3.12500	5.14636	3.06170	17.32283	4.70719	1.96703	-13.51536					
1995:5	6.01	3.11864	4.86733	2.74552	3.98230	5.65555	1.74689	-13.89253					
1995:6	6.00	3.04260	4.57849	2.66703	-7.17360	5.71392	2.25589	-9.08446					
1995:7	5.85	2.83019	3.97740	2.41745	-18.15642	5.29447	2.37298	1.52884					
1995:8	5.74	2.61745	4.77648	2.38638	-35.50532	5.10349	2.30067	-2.34483					
1995:9	5.80	2.54521	4.79547	2.28365	-39.22790	5.15066	2.20748	-7.12347					
1995:10	5.76	2.74431	3.76859	2.22834	-44.70868	4.19175	1.38285	-5.58621					
1995:11	5.80	2.60347	3.38807	1.98642	-47.33728	4.78333	1.69353	-3.90470					
1995:12	5.60	2.53165	2.72752	1.85947	-53.73134	5.30202	1.35351	-1.64948					
1996:1	5.56	2.79070	1.84081	1.55810	-53.13953	4.86463	1.09399	4.26439					
1996:2	5.22	2.71703	3.52922	1.75078	-52.50918	5.83780	1.65719	13.29787					
1996:3	5.31	2.84392	3.23539	1.78594	-49.42966	5.90849	1.73932	14.01121					
1996:4	5.22	2.83267	4.16190	1.78518	-44.29530	6.51736	1.93280	19.65272					
1996:5	5.24	2.82709	4.59668	2.07331	-28.79433	5.90990	2.22902	14.45967					
1996:6	5.27	2.82152	5.05512	2.11435	-25.96600	5.09502	2.52969	14.51991					
1996:7	5.40	2.88336	5.27838	2.24369	-24.74403	5.68933	2.04981	0.75291					
1996:8	5.22	2.81230	4.53686	2.17436	-3.91753	5.40868	2.21585	9.95763					
1996:9	5.30	3.00457	4.81735	2.15547	2.66393	5.50322	2.12680	7.74288					
1996:10	5.24	3.06189	4.89095	2.23399	-1.72043	6.26700	1.99465	1.68006					
1996:11	5.31	3.25309	5.53286	2.35724	4.04494	5.85293	1.97643	2.54821					
1996:12	5.29	3.37882	5.78999	2.38671	29.03226	5.49989	2.20986	-4.26275					
1997:1	5.25	3.03814	6.66029	2.60179	32.25806	6.38102	2.37999	-7.63463					
1997:2	5.19	3.03226	6.29235	2.48455	45.36082	5.84938	1.88796	-0.33535					
1997:3	5.39	2.76527	7.18688	2.52015	28.07018	5.41144	2.01384	2.31742					
1997:4	5.51	2.43434	6.34277	2.62409	21.20482	4.80159	2.67649	-1.58311					
1997:5	5.50	2.23785	6.24997	2.56515	-3.38645	4.51860	1.79839	-4.12234					
1997:6	5.56	2.23357	5.88839	2.54145	2.08768	5.03455	1.50619	1.84049					
1997:7	5.52	2.16561	7.00394	2.58352	17.91383	5.63327	2.18862	-2.37772					
1997:8	5.54	2.29008	7.38152	2.40429	11.80258	5.90300	2.45902	-10.72575					
1997:9	5.54	2.21940	7.64325	2.63811	5.78842	5.74436	2.49542	4.81356					
1997:10	5.50	2.08597	8.68893	2.70806	17.28665	5.78716	2.99457	9.19540					
1997:11	5.52	1.89036	8.71366	2.70800	12.52700	5.77116	3.37018	1.41034					
1997:12	5.50	1.69705	8.38140	2.81313	0.38462	5.82594	3.57961	14.30657					
1998:1	5.56	1.63112	8.76231	2.84147	-11.81989	5.14269	4.17797	12.54613					
1998:2	5.51	1.44020	7.55048	2.74646	-19.32624	5.32642	4.55404	6.59489					
1998:3	5.49	1.37672	6.88635	2.60410	-13.50294	5.42939	4.69377	7.54976					
1998:4	5.45	1.43840	7.17959	2.58725	-19.48310	6.02065	4.96484	3.21716					
1998:5	5.49	1.68856	7.16888	2.70173	-15.25773	6.91064	4.95999	6.51872					
1998:6	5.56	1.62297	5.94696	2.65596	-19.63190	6.86818	5.22876	9.83936					
1998:7	5.54	1.74564	4.65170	2.49572	-26.15385	6.14750	5.00211	18.16284					
1998:8	5.55	1.61692	5.79653	2.81009	-27.44722	6.04441	4.81754	16.11511					
1998:9	5.51	1.42680	4.59803	2.56464	-35.84906	6.50953	4.86233	2.32859					
1998:10	5.07	1.48607	4.47123	2.44221	-35.26119	6.44033	4.54799	12.82895					
1998:11	4.83	1.48423	3.51171	2.41688	-33.78119	6.28826	4.32624	9.93377					
1998:12	4.68	1.60692	3.54459	2.44633	-38.88889	6.67903	3.92591	14.43167					
1999:1	4.63	1.66667	3.50093	2.31996	-28.29787	6.73212	3.38658	14.62295					
1999:2	4.76	1.66667	3.88257	2.48828	-22.63736	6.60706	3.05716	5.42929					
1999:3	4.81	1.72840	3.99884	2.45013	-3.84615	6.66147	2.58080	9.12572					
1999:4	4.74	2.28113	3.83865	2.52200	17.03704	7.06532	2.05035	0.84416					
1999:5	4.74	2.09102	3.99561	2.35893	24.57421	6.65325	1.84842	4.88281					
1999:6	4.76	1.96560	4.51346	2.38896	37.91349	6.52343	1.61826	-4.99695					
1999:7	4.99	2.14461	5.57544	2.54112	44.53125	6.65867	1.54321	-1.70789					
1999:8	5.07	2.26438	3.84373	2.39113	60.31746	6.78541	1.64362	2.10657					
1999:9	5.22	2.62997	3.74131	2.37983	93.52941	6.93615	1.25610	3.35019					
1999:10	5.20	2.56254	4.32265	2.53520	98.27089	6.72774	1.71936	-6.23907					
1999:11	5.42	2.62035	4.87715	2.53744	97.39130	7.02501	2.02350	-0.72289					
1999:12	5.30	2.67640	5.30850	2.48979	111.28527	7.70719	2.68356	-4.68750					
2000:1	5.45	2.79296	4.85849	2.57035	114.83680	7.63391	3.14634	-6.40732					
2000:2	5.73	3.21797	4.69766	2.34280	103.40909	8.49352	3.20788	4.01198					
2000:3	5.85	3.76214	4.94485	2.62157	85.17647	9.01180	3.34568	-6.19883					
2000:4	6.02	3.01386	5.51118	2.54471	50.21097	7.67080	3.98183	4.70058					
2000:5	6.27	3.13253	4.93056	2.55218	28.32031	7.73659	4.16956	-2.23464					
2000:6	6.53	3.73494	5.17817	2.30843	16.05166	7.82725	4.06714	0.00000					
2000:7	6.54	3.59928	4.39219	2.19456	14.23423	7.67414	4.51632	-12.34272					
2000:8	6.50	3.35129	3.61605	2.05206	-4.12541	7.45736	4.65024	-6.49272					
2000:9	6.52	3.45650	4.37974	1.98781	-11.24620	7.89244	4.74101	-7.82875					
2000:10	6.51	3.45033	2.64503	1.66294	-16.13372	7.59423	4.27334	-3.66915					
2000:11	6.51	3.44418	2.13659	1.60787	-14.68429	7.22569	3.48067	-5.88592					
2000:12	6.40	3.43602	1.06058	1.48725	-11.27596	6.25590	2.77211	-10.30445					
2001:1	5.98	3.72120	0.28672	1.28770	-10.77348	6.78020	2.49108	-2.20049					
2001:2	5.49	3.52941	-0.63376	1.24143	-22.34637	5.72443	2.30710	-6.44790					
2001:3	5.31	2.98246	-1.35003	0.86318	-36.59466	4.57646	2.38004	-0.87282					
2001:4	4.80	3.21826	-2.36136	0.42989	-32.58427	5.00224	1.73453	1.41451					
2001:5	4.21	3.56308	-3.27988	0.22934	-31.35464	5.13418	1.14453	1.90476					
2001:6	3.97	3.19396	-3.99725	0.16582	-31.95548	4.77589	0.92387	4.93906					
2001:7	3.77	2.72148	-4.39631	-0.05444	-37.06625	4.64401	1.90928	14.14901					
2001:8	3.65	2.72148	-4.26228	-0.16410	-39.75904	4.64803	3.13129	1.68722					
2001:9	3.07	2.59217	-4.95997	-0.44798	-37.32877	2.04973	2.37818	3.64964					
2001:10	2.49	2.12766	-5.10295	-0.68225	-42.28769	4.77773	0.62323	-0.58102					
2001:11	2.09	1.89437	-5.61055	-1.07255	-44.92255	3.96712	0.93626	3.28820					
2001:12	1.82	1.60367	-5.31200	-1.30723	-44.48161	3.02188	1.06822	2.34987					
2002:1	1.73	1.19590	-4.02689	-1.39190	-32.04334	2.96585	2.65634	6.12500					
2002:2	1.74	1.13636	-3.41274	-1.54556	-25.35971	3.27771	2.55575	12.55385					
2002:3	1.73	1.36286	-2.36940	-1.54209	4.00802	3.62570	2.19660	3.27044					
2002:4	1.75	1.64399	-1.63543	-1.39287	25.62500	4.39726	2.72354	-3.45664					
2002:5	1.75	1.24083	-0.48766	-1.37062	39.68958	3.36999	3.16527	9.90654					
2002:6	1.75	1.06922	1.13672	-1.23062	53.03738	3.79028	3.38796	4.95110					
2002:7	1.73	1.46561	1.43922	-1.21048	71.17794	4.43088	1.54161	-0.89820					
2002:8	1.74	1.74746	1.66331	-1.10287	75.71429	4.23868	-0.27463	4.21187					
2002:9	1.75	1.51600	2.12470	-0.96754	70.76503	5.26308	0.51689	15.49296					
2002:10	1.75	2.02703	2.31286	-0.62760	75.07508	3.02199	2.33984	7.01299					
2002:11	1.34	2.25352	3.39555	-0.39723	74.06250	4.02519	2.32987	9.42572					
2002:12	1.24	2.48027	2.88266	-0.38706	71.38554	5.04312	2.37887	14.03061					
2003:1	1.24	2.75746	2.94031	-0.21169	30.97950	5.01268	0.27801	9.12839					
2003:2	1.26	3.14607	3.21473	-0.22492	57.83133	4.32387	-0.02749	-10.93494					
2003:3	1.25	3.02521	2.20046	-0.37033	34.87476	4.82087	0.36995	5.11571					
2003:4	1.26	2.17513	0.94976	-0.34299	5.30680	4.30326	0.72919	3.20352					
2003:5	1.26	1.89415	0.56439	-0.34455	-18.25397	4.74473	1.29490	-0.73696					
2003:6	1.22	1.94878	-0.35192	-0.38037	-13.74046	4.84381	1.41484	8.73617					
2003:7	1.01	2.05556	0.47709	-0.29790	-22.40117	4.84362	2.87757	14.62236					
2003:8	1.03	2.21607	0.20199	-0.31862	-13.82114	5.77124	3.60148	12.24740					
2003:9	1.01	2.37832	0.67197	-0.19387	-10.40000	6.03143	2.35078	7.48337					
2003:10	1.01	2.04194	1.06030	-0.13933	0.34305	5.64042	2.56144	19.35680					
2003:11	1.00	1.92837	1.31302	-0.13396	14.90126	6.00816	3.08256	18.82487					
2003:12	0.98	2.03520	1.68582	0.08047	15.99297	5.58351	2.96312	15.04474					
2004:1	1.00	2.02629	1.27228	0.13326	31.30435	6.03998	3.05264	3.13006					
2004:2	1.01	1.68845	1.52052	0.28446	24.42748	6.58207	3.48557	13.32106					
2004:3	1.00	1.74008	1.20730	0.70040	22.85714	6.47001	3.49397	15.75898					
2004:4	1.00	2.29258	2.38748	0.92497	38.58268	6.26362	3.16826	21.91114					
2004:5	1.00	2.89776	3.11769	1.16936	66.99029	7.08940	2.89960	13.13535					
2004:6	1.03	3.16767	2.24837	1.21921	43.36283	6.23729	2.55918	-2.08891					
2004:7	1.26	2.93958	2.42585	1.22590	45.28302	6.25530	1.57967	5.53506					
2004:8	1.43	2.54743	2.71825	1.36077	53.77358	5.27358	1.24638	10.42008					
2004:9	1.61	2.53917	2.20698	1.40499	35.71429	6.33731	2.43137	-1.75348					
2004:10	1.76	3.19091	3.11586	1.51710	34.18803	6.68264	2.08321	5.33808					
2004:11	1.93	3.62162	2.54808	1.55293	15.62500	6.38962	1.09548	-14.45031					
2004:12	2.16	3.34232	3.36497	1.55606	9.09091	6.79934	4.60219	-0.72922					
2005:1	2.28	2.84487	3.57654	1.53427	-8.60927	6.02068	0.98741	12.19257					
2005:2	2.50	3.05303	3.69869	1.68130	-19.63190	6.23877	0.81474	19.55580					
2005:3	2.63	3.20684	4.14502	1.52757	-15.11628	6.17535	0.76821	-6.70671					
2005:4	2.79	3.36179	3.89157	1.61223	-19.31818	7.05390	0.64003	2.89566					
2005:5	3.00	2.86929	3.28539	1.50821	-32.55814	5.69470	0.54078	2.22110					
2005:6	3.04	2.54103	4.53704	1.63564	-37.65432	6.95585	0.82495	13.12910					
2005:7	3.26	3.06716	3.53610	1.89474	-37.01299	7.22067	0.91494	2.59740					
2005:8	3.50	3.64693	3.66294	1.94136	-23.31288	6.97097	0.77305	3.50791					
2005:9	3.62	4.74183	1.53272	1.86629	2.63158	6.57590	0.25109	12.91339					
2005:10	3.78	4.35010	1.86596	1.66434	7.00637	6.43510	0.64228	-0.33784					
2005:11	4.00	3.33855	2.65629	1.86959	0.00000	6.25768	1.57563	20.48260					
2005:12	4.16	3.33855	2.54449	1.88964	-12.50000	5.99190	-1.48448	-2.35064					
2006:1	4.29	4.01879	2.18765	1.99545	-5.79710	6.79364	3.28747	6.01679					
2006:2	4.49	3.63825	1.57525	2.04901	-4.58015	6.51842	3.68060	-3.98731					
2006:3	4.59	3.41792	1.92566	2.15660	-8.90411	6.32763	3.54013	5.63305					
2006:4	4.79	3.61384	2.17253	2.01515	0.70423	5.82154	3.20021	-11.64483					
2006:5	4.94	3.97727	1.84973	1.89878	32.75862	6.60669	2.68353	-4.09877					
2006:6	4.99	4.18172	1.83835	1.77137	51.48515	5.79467	2.61417	-12.86267					
2006:7	5.24	4.10467	2.05047	1.64057	61.85567	5.55374	2.32888	-15.43330					
2006:8	5.25	3.92657	2.23530	1.62999	16.80000	5.59024	2.15371	-21.24105					
2006:9	5.25	2.01207	4.12510	1.69609	-21.79487	5.27029	3.30838	-20.03719					
2006:10	5.25	1.40633	2.75834	1.63486	-44.04762	5.06384	3.40556	-27.79661					
2006:11	5.25	1.96870	1.62655	1.53594	-27.70270	4.93452	3.06202	-26.87471					
2006:12	5.24	2.52398	2.03343	1.54451	-24.60317	5.42496	2.78408	-17.30191					
2007:1	5.25	2.07577	1.42996	1.51181	-18.46154	4.97797	1.51064	-38.01144					
2007:2	5.26	2.42026	2.48828	1.34104	-5.60000	4.99305	1.34147	-30.15573					
2007:3	5.26	2.79820	2.36561	1.26988	-1.50376	5.05557	1.46412	-24.07313					
2007:4	5.25	2.59292	2.72167	1.19181	2.09790	4.84967	1.57169	-18.17683					
2007:5	5.25	2.70989	2.91418	1.28044	-7.79221	4.91458	1.61108	-27.13697					
2007:6	5.25	2.69277	2.51272	1.27532	-11.11111	4.73405	1.26955	-19.64484					
2007:7	5.26	2.31789	2.54763	1.09755	-17.19745	4.26478	1.52858	-22.04951					
2007:8	5.02	1.89745	2.33528	0.94826	-13.69863	4.61115	1.60673	-19.39394					
2007:9	4.94	2.83383	2.90723	0.89602	-3.27869	4.72221	1.24602	-31.22093					
2007:10	4.76	3.61070	2.44443	0.95447	34.04255	4.68061	0.48531	-15.22468					
2007:11	4.49	4.37327	3.15660	0.88588	26.16822	5.27398	0.03077	-23.75796					
2007:12	4.24	4.10881	2.13515	0.83011	43.15789	4.53003	0.19547	-37.11340					
2008:1	3.94	4.29470	2.36580	0.66716	43.39623	4.29285	0.39089	-23.06600					
2008:2	2.98	4.14296	0.99350	0.53950	27.96610	3.80469	0.30654	-25.47297					
2008:3	2.61	3.97490	0.58720	0.34489	27.48092	3.86852	0.21409	-32.77592					
2008:4	2.28	3.90376	-0.85671	0.13352	15.75342	3.86739	-0.13359	-32.01342					
2008:5	1.98	4.08841	-1.35776	-0.10439	22.53521	3.95925	4.72316	-31.23675					
2008:6	2.00	4.93597	-1.54849	-0.28040	34.55882	4.38226	2.08008	-27.76243					
2008:7	2.01	5.49751	-2.07565	-0.40802	36.15385	4.01143	0.24535	-31.83161					
2008:8	2.00	5.30802	-3.69811	-0.58347	22.22222	3.46611	-0.61078	-36.54135					
2008:9	1.81	4.95332	-8.10225	-0.97281	-9.32203	2.49759	-0.74342	-30.68470					
2008:10	0.97	3.73106	-6.86848	-1.37690	-41.26984	1.31319	-0.06700	-38.52848					
2008:11	0.39	1.09992	-8.57792	-2.01370	-62.22222	-0.77957	0.73554	-45.53049					
2008:12	0.16	-0.02223	-11.15061	-2.58547	-73.52941	-2.04471	-0.04459	-45.99807					
2009:1	0.15	-0.11359	-12.89047	-3.17132	-61.84211	-1.71732	0.09734	-54.79705					
2009:2	0.22	0.00846	-13.28021	-3.61880	-61.58940	-1.80801	-0.97516	-47.23481					
2009:3	0.18	-0.44648	-14.34498	-4.15994	-62.87425	-2.61190	-1.17079	-49.75124					
2009:4	0.15	-0.57632	-14.39640	-4.50770	-62.13018	-3.01356	-0.25359	-52.81343					
2009:5	0.18	-1.01576	-14.90887	-4.63851	-50.00000	-3.30516	-3.34735	-44.50154					
2009:6	0.21	-1.22917	-15.06102	-4.85864	-45.35519	-3.36769	-2.40694	-44.07266					
2009:7	0.16	-1.95876	-13.79194	-4.94975	-37.85311	-3.11198	-1.18760	-35.64464					
