OBS	INTRATE	INFL	PROD	UNEMPL	COMMPRI	PCE	PERSINC	HOUST					
1965:9	4.01	1.73745	9.87973	4.39197	2.31481	8.48514	6.61926	1.85567					
1965:10	4.08	1.70308	12.54696	4.97330	-0.29070	9.25750	6.02702	-4.72441					
1965:11	4.10	1.73021	9.62753	4.69460	3.06569	10.26625	6.21849	-1.74966					
1965:12	4.32	1.92000	9.69479	4.88043	-3.73563	9.65370	5.63646	11.59030					
1966:1	4.42	1.91816	9.59147	4.94268	7.35502	9.60000	5.54832	0.66128					
1966:2	4.60	2.55754	9.62066	5.01003	24.84568	9.00463	5.91472	-3.83810					
1966:3	4.65	2.77866	9.66891	5.31473	32.86822	9.63356	5.91592	-2.03795					
1966:4	4.67	2.86807	9.36686	5.27224	22.12518	9.14077	5.42043	-5.98053					
1966:5	4.90	2.76366	9.55241	5.32136	19.00000	8.12414	4.46033	-14.41137					
1966:6	5.17	2.43594	9.22289	5.63520	11.33880	9.27031	4.78845	-19.75806					
1966:7	5.30	2.75491	8.79852	5.47545	11.00279	8.96739	4.11473	-28.97319					
1966:8	5.53	3.48653	8.42467	5.35539	12.76596	8.71910	4.12022	-21.85754					
1966:9	5.40	3.57369	9.15984	5.12929	11.16139	8.24127	1.89756	-29.41970					
1966:10	5.53	3.79147	8.81857	5.08118	2.47813	6.51274	2.90106	-41.94215					
1966:11	5.76	3.55906	7.62205	4.87443	1.84136	6.74353	2.58668	-34.17808					
1966:12	5.40	3.35950	6.54677	4.61963	0.89552	6.55419	2.07119	-40.21739					
1967:1	4.94	3.19950	6.00818	4.60434	-3.95257	6.24732	2.99500	-22.11679					
1967:2	5.00	2.86783	4.13063	4.19135	-23.60939	4.84179	2.80930	-18.50508					
1967:3	4.53	2.54817	2.14574	3.69984	-36.98950	4.39353	3.27355	-24.24677					
1967:4	4.05	2.54027	2.94568	3.20165	-32.89631	5.12982	3.55333	-19.30473					
1967:5	3.94	2.31839	1.08551	2.99477	-32.65306	6.16294	3.61982	3.08300					
1967:6	3.98	2.84126	0.59891	2.55810	-28.34356	6.57287	3.56704	4.52261					
1967:7	3.79	2.92758	-0.17672	2.46652	-19.82434	5.44472	3.63921	25.59853					
1967:8	3.90	2.60337	1.65672	2.53461	-15.09434	5.51881	3.46253	25.73727					
1967:9	3.99	2.59542	0.55412	2.35134	2.03528	5.38885	2.87430	35.85086					
1967:10	3.88	2.58752	0.67564	2.11398	11.94879	4.88753	2.46939	76.86833					
1967:11	4.13	3.10219	2.82309	2.59001	16.55076	5.58386	2.62205	60.04162					
1967:12	4.51	3.28068	3.69076	2.60736	17.75148	6.73975	3.62158	32.12121					
1968:1	4.60	3.64742	3.09300	2.13739	6.99588	7.39543	2.71493	29.33458					
1968:2	4.71	3.63636	4.64923	2.73125	23.46278	8.20336	3.29100	35.35174					
1968:3	5.05	3.93939	5.57107	2.69342	40.92593	9.72614	3.48016	38.82576					
1968:4	5.76	3.92749	4.73607	3.18939	26.99822	8.46445	3.95372	42.43813					
1968:5	6.11	4.22961	6.84295	3.09971	23.35116	9.42346	4.13392	7.97546					
1968:6	6.07	4.20420	7.24890	3.27605	20.54795	9.71429	4.18834	12.58013					
1968:7	6.02	4.49102	7.32901	3.39672	5.00782	11.11549	3.53767	10.85044					
1968:8	6.03	4.47761	5.60507	3.30501	10.07407	11.18511	3.30081	6.25444					
1968:9	5.78	4.46429	6.17723	3.51097	-3.72340	10.16851	3.29901	9.50035					
1968:10	5.91	4.74777	5.52866	3.76746	-10.03812	11.58120	3.69689	5.23139					
1968:11	5.82	4.42478	5.38655	3.42114	-17.06444	11.44567	3.45684	5.98179					
1968:12	6.02	4.70588	4.59288	3.50673	-3.51759	9.77558	2.89846	18.34862					
1969:1	6.30	4.69208	5.33904	3.94132	-1.15385	9.91533	2.57839	28.18841					
1969:2	6.61	4.67836	5.63462	3.69709	4.32503	10.35193	1.84089	12.17105					
1969:3	6.79	5.24781	6.13162	3.87845	4.33640	8.22169	1.05935	6.48022					
1969:4	7.41	5.52326	5.58813	3.72585	10.20979	9.19941	0.64237	-1.93050					
1969:5	8.67	5.50725	4.02247	3.95400	14.59538	9.21148	1.40783	12.42898					
1969:6	8.90	5.47550	4.65410	4.02333	14.91477	8.06394	1.69395	8.75445					
1969:7	8.61	5.44413	5.36809	3.82239	20.56632	7.04150	2.66878	-9.52381					
1969:8	9.19	5.42857	5.31648	3.91933	13.59354	7.61099	3.24605	-9.16388					
1969:9	9.15	5.69801	4.89562	3.54812	14.91713	7.96414	3.48571	-3.14910					
1969:10	9.00	5.66572	4.71836	3.49243	20.48023	8.22995	3.43212	-11.98215					
1969:11	8.85	5.93220	2.40673	3.04704	17.69784	7.62037	3.18974	-24.60123					
1969:12	8.97	5.89888	1.81025	2.87959	7.03125	8.05613	3.01216	-14.27649					
1970:1	8.98	6.16246	-0.67584	2.50295	4.53956	7.77131	3.73247	-38.66591					
1970:2	8.98	6.42458	-1.37254	2.30129	-6.40704	7.70144	4.01340	-23.46041					
1970:3	7.76	6.09418	-2.26684	2.21300	-14.60957	7.37663	4.16140	-15.50288					
1970:4	8.10	6.06061	-2.15817	1.82098	-4.69543	7.11283	5.50430	-17.06037					
1970:5	7.94	6.04396	-1.90142	1.13042	-1.26103	7.03710	3.75211	-18.50916					
1970:6	7.60	6.01093	-3.16469	0.55637	-8.77627	7.56191	2.66642	-9.35864					
1970:7	7.21	5.70652	-3.43678	0.45809	-10.50680	7.62220	3.57496	10.89181					
1970:8	6.61	5.69106	-3.83011	-0.10281	-18.72038	7.05632	3.25453	3.01915					
1970:9	6.29	5.66038	-4.47148	0.04371	-15.14423	7.49064	3.20879	1.79164					
1970:10	6.20	5.63003	-6.40981	-0.84505	-20.51583	6.44172	2.36929	14.40985					
1970:11	5.60	5.60000	-6.09163	-0.95376	-16.74817	5.82556	2.03832	34.01139					
1970:12	4.90	5.57029	-3.67612	-0.63167	-21.53285	6.87831	2.26953	42.65260					
1971:1	4.14	5.27704	-1.10397	-0.43554	-19.23077	7.56036	3.31811	68.47926					
1971:2	3.72	4.72441	-1.22730	-0.69842	-13.28859	7.16648	3.15367	33.40996					
1971:3	3.71	4.43864	-1.20614	-0.82993	-1.17994	7.86481	3.13428	44.80667					
1971:4	4.15	4.15584	-0.39521	-0.43589	-5.72570	8.28885	2.07847	57.12025					
1971:5	4.63	4.40415	0.22678	0.17435	-8.55683	7.58471	2.98957	58.83721					
1971:6	4.91	4.38144	0.97375	0.31536	5.82656	8.28183	5.47282	46.28159					
1971:7	5.31	4.37018	0.43426	0.36874	0.27624	7.75982	2.31893	37.31048					
1971:8	5.56	4.35897	0.02982	0.61607	5.53936	7.96758	2.52156	54.25304					
1971:9	5.55	4.08163	2.36103	0.94294	-25.92068	8.18058	2.63346	33.05085					
1971:10	5.20	3.80711	5.23235	1.59248	-23.74631	8.73654	3.51056	34.68354					
1971:11	4.91	3.53535	6.32302	2.04093	-20.85169	9.80839	4.06719	32.48330					
1971:12	4.14	3.26633	5.13555	1.86184	0.93023	9.45095	4.39048	21.23613					
1972:1	3.50	3.25815	6.83873	2.22815	21.81260	8.18074	2.18621	36.43326					
1972:2	3.29	3.75940	8.05876	2.60712	14.70588	8.36273	2.63902	37.27743					
1972:3	3.83	3.50000	8.97532	2.94387	10.29851	9.86823	2.62168	22.19895					
1972:4	4.17	3.49127	9.49161	2.99281	3.67232	9.27805	2.48797	13.24270					
1972:5	4.27	3.22581	8.88280	3.11592	-0.27933	9.67928	2.82671	8.39434					
1972:6	4.46	2.96296	8.71351	3.51845	-10.11524	8.86130	0.99300	11.25370					
1972:7	4.55	2.95567	8.98894	3.35554	-2.75482	10.18717	3.23351	8.11330					
1972:8	4.80	2.94840	11.08177	3.87838	-3.17680	10.15581	3.64870	10.37998					
1972:9	4.87	3.18627	10.14216	3.69465	29.63671	9.57849	3.77643	21.55806					
1972:10	5.04	3.17848	10.82484	4.23076	39.26499	11.07546	5.99723	16.77632					
1972:11	5.06	3.41463	11.61519	4.34401	38.21892	11.03725	6.85958	10.95325					
1972:12	5.33	3.40633	11.60958	4.38509	19.81567	10.67708	6.55512	3.09368					
1973:1	5.94	3.64078	9.70719	4.38402	4.53972	11.64346	6.61438	-0.52125					
1973:2	6.58	3.86473	10.31674	4.63167	18.48853	12.19314	6.80670	-4.22594					
1973:3	7.09	4.83092	9.56013	4.57879	21.78620	11.16738	6.85646	1.32819					
1973:4	7.12	5.30120	8.25437	4.49954	20.29973	11.06394	6.89339	-7.33659					
1973:5	7.84	5.52885	9.00275	4.32711	25.07003	11.05111	6.33466	2.02611					
1973:6	8.49	5.99520	8.78738	4.23943	24.78632	10.86643	6.39386	-8.29636					
1973:7	10.40	5.74163	9.29423	4.34553	-1.41643	10.95695	5.81297	-5.72824					
1973:8	10.50	7.39857	7.66619	4.08428	22.82454	9.92671	4.52765	-13.89589					
1973:9	10.78	7.36342	7.82148	4.05720	35.84071	11.29712	4.66038	-24.46594					
1973:10	10.01	8.05687	7.09372	3.92779	29.02778	9.23019	3.04153	-32.51509					
1973:11	10.03	8.25472	6.41258	3.92840	31.00671	9.57845	2.06603	-28.78976					
1973:12	9.95	8.94118	4.94796	3.67344	20.76923	8.78019	1.26909	-35.50296					
1974:1	9.65	9.60187	3.51115	3.28348	14.95778	8.37511	1.10883	-41.51552					
1974:2	8.97	10.00000	1.67359	2.94276	6.60592	7.78530	-0.40838	-23.46003					
1974:3	9.35	10.13825	1.63533	2.63617	4.44444	8.28339	-1.45269	-34.24947					
